127.0.0.1 - - [05/Dec/2024:22:33:15 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:17 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20586
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:17 +0900] "GET /HS/css/Footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:17 +0900] "GET /HS/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:17 +0900] "GET /HS/css/Header2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:33:51 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20585
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:41 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:42 +0900] "GET /HS/lecturesPlansPage.jsp?index=0 HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/main.jsp HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/id_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/clock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/call_infor.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/pw_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:34:59 +0900] "GET /HS/img/login-box.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:35:01 +0900] "POST /HS/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:35:01 +0900] "GET /HS/LogIn.jsp HTTP/1.1" 200 9417
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:35:01 +0900] "GET /HS/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:35:01 +0900] "GET /HS/img/pic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:22 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:22 +0900] "GET /HS/css/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:22 +0900] "GET /HS/img/right-arrow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:22 +0900] "GET /HS/img/left-arrow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:23 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5483
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:23 +0900] "GET /HS/css/Infor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:24 +0900] "GET /HS/CourseRegistration.html HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:24 +0900] "GET /HS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:24 +0900] "GET /HS/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:37:27 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20669
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:38:40 +0900] "GET /HS/CourseRegistration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:10 +0900] "GET /HS/CourseRegistration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:18 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20669
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:20 +0900] "GET /HS/lecturesPlansPage.jsp?index=1 HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:23 +0900] "GET /HS/Notice.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:24 +0900] "GET /HS/noticeLi1.jsp HTTP/1.1" 200 7954
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:24 +0900] "GET /HS/css/noticeLi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:24 +0900] "GET /HS/img/attach.png HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:27 +0900] "GET /HS/noticeLi2.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:27 +0900] "GET /HS/img/track.png HTTP/1.1" 200 2455429
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:27 +0900] "GET /HS/css/noticeLi2.css HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:29 +0900] "GET /HS/noticeLi3.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:29 +0900] "GET /HS/img/transfer0.jpg HTTP/1.1" 200 555402
